,OBJECTID,IncidentSi,POOFips,geometry,year,month,day,FireCause_Human,FireCause_Natural,FireCause_Undetermined,FireCause_Unknown,POOCounty_Aleutians East,POOCounty_Aleutians West,POOCounty_Anchorage,POOCounty_Bethel,POOCounty_Bristol Bay,POOCounty_Denali,POOCounty_Dillingham,POOCounty_Fairbanks North Star,POOCounty_Juneau,POOCounty_Kenai Peninsula,POOCounty_Kodiak Island,POOCounty_Kusilvak,POOCounty_Lake and Peninsula,POOCounty_Matanuska-Susitna,POOCounty_Nome,POOCounty_North Slope,POOCounty_Northwest Arctic,POOCounty_Southeast Fairbanks,POOCounty_Valdez-Cordova,POOCounty_Wade Hampton,POOCounty_Yukon-Koyukuk,POOLandown_ANCSA,POOLandown_BIA,POOLandown_BLM,POOLandown_County,POOLandown_DOD,POOLandown_DOE,POOLandown_NPS,POOLandown_Private,POOLandown_State,POOLandown_Tribal,POOLandown_USFS,POOLandown_USFWS,distance_to_blackspruce,distance_to_paperbirch,distance_to_whitespruce,distance_to_aspen,distance_to_poplar
118,83439,48.0,02050,POINT (-469894.9070877086 1242061.2067506034),2019,6,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65077.7446802188,69397.53334792641,68694.46798127692,158922.48841608298,108969.26093881848
121,83683,100.5,02290,POINT (-123230.09117034906 1428068.176533029),2020,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,193.17653302894902,4323.878829210799,0.0,21910.10381951996,22540.520936770008
123,83825,14881.4,02290,POINT (461853.69578183844 1962311.0389692816),2015,6,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9876.106244951414,3733.104261151013,9589.981650259633,20598.052958788558
126,83907,967.0,02240,POINT (575616.257003947 1762411.8416904192),2021,7,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1546.2157775706753,752.6399100052246,209.7932774291729,9130.727399084984
134,84223,56.0,02170,POINT (147295.9012393506 1386827.9566049848),2017,6,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15159.409319156375,354.07876640741136,0.0,62987.44197535471,114295.61835134229
135,84235,7806.8,02290,POINT (34914.84646913531 1824453.4567370196),2022,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,66873.17464970521,3244.2238123358206,68125.71916830043,1881.0004199041198
144,84500,26243.2,02050,POINT (-285653.74955958285 1261086.4827606736),2022,6,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,79.06429567390092,2717.9766725208888,27767.855156510122,7250.025719612671
146,84631,447.4,02050,POINT (-233682.33191676246 1253266.735835509),2019,7,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,21943.125840638946,1712.1982249444839,10667.670942410849,3141.7379679574765
154,84963,133.5,02290,POINT (474508.6500895585 1760197.7968513838),2019,7,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,51.5000541719767,0.0,148.36427129243432,3234.8000333383848,5243.952892783616
156,85324,15.4,02290,POINT (-148651.6978272172 1512658.3164642132),2018,6,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,311.1520770468913,0.0,1704.145070197764,6733.338894389289,4950.559505055145
157,85334,10.5,02240,POINT (446377.69841915567 1594255.7263359476),2015,6,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,422.38614705139236,194.1836127566587,0.0,84.6649948513626,9072.814236333636
161,85573,20.5,02290,POINT (-122672.09043804323 1654570.0176093094),2017,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,836.5572067161281,0.0,8715.615375539084,15558.000120575385,10956.050710743426
165,85728,118.2,02240,POINT (556544.2834062689 1713088.812286431),2015,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1075.977825741003,109.0447343505411,1939.6567509652552,23495.872352955783
169,85883,167182.9,02122,POINT (194144.08713723428 1188022.0401822787),2019,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2097.272778321499,4131.896124621376,16918.510107955466,29177.12923712674
170,85892,129.2,02290,POINT (-148744.44581283614 1835878.9835949691),2016,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1616.4180265959458,49033.1146209913,7407.751871210906,50460.359460583466,3602.8743377971273
172,85991,40.0,02122,POINT (224255.44145631287 1175291.2565284928),2014,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11879.006730944697,0.0,29.466493242734348,108.3960795379152,4668.9193248324145
175,86022,29.0,02090,POINT (302446.5744545117 1667390.032213306),2017,3,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91.96210727518438,1223.9074496953438,0.0,1275.0320704740222,8691.04041539362
177,86142,346.0,02090,POINT (335703.8601555038 1653574.7780450683),2018,5,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,489.9164215768779,93.49421844924129,89.1102425163817,0.0,11096.417758421652
184,86513,139.7,02240,POINT (373950.68507345766 1583030.361899979),2016,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1119.8529070775498,1455.6287582378945,0.0,667.5623362160009,22937.395792440984
186,86627,1744.7,02188,POINT (-408267.115239374 2024966.1242684617),2015,7,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,171871.26525390713,329965.9519729946,35504.23117719862,333575.08235055255,277333.8036253432
190,86781,736.3,02290,POINT (131589.9887893377 1914359.7199024998),2018,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,36291.108118963646,519.8368957017904,42035.99835140924,2570.8816627250026
206,87495,64.0,02050,POINT (-192026.21190384243 1297380.66291004),2015,7,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,237.54395056591585,3928.1319008834726,0.0,19068.96759663289,18389.35620681365
208,87563,19.0,02122,POINT (237342.4986864757 1222046.6790036783),2014,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8662.63768554516,123.09454365960768,431.0714236492674,2262.6076514835495,1643.589309292233
210,87665,6940.5,02290,POINT (55220.176746457146 1515271.5247726908),2015,6,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2112.0637162717126,734.2257184663018,8989.342828075161,3150.3114138171545
214,87847,84.27,02290,POINT (245735.26197460826 1793135.1559681853),2020,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,466.98201366020453,2259.129926831402,0.0,509.381310861908,722.7817425109585
221,88394,2386.8,02290,POINT (555599.6199066857 1921642.3917732702),2022,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,409.21937657576177,504.58914561856164,0.0,1234.1592668103556,7251.8413045572415
225,88570,10.0,02290,POINT (-92841.79566278233 1455604.9729018488),2015,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,71.36244048238046,3029.907151344471,0.0,19298.385885309555,19638.7098889965
226,88579,98.0,02261,POINT (478524.35588723945 1438862.4668605074),2017,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,619.2214595946261,94325.34399267659,0.0,49587.16006497656,48790.584427010646
228,88673,20.0,02068,POINT (252679.04407715122 1562276.9079344834),2014,5,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,361.2824448487245,3687.5701002480705,0.0,22608.806241111426,23230.182029868247
243,89305,28.9,02050,POINT (-438063.0406326893 1219210.1371045476),2022,6,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67436.80692636814,56211.07488874322,63280.59676128627,121821.57833260407,69795.66298859018
246,89466,2980.3,02240,POINT (577696.3746697727 1736372.1898090942),2017,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118.28848667399302,821.5572962190264,0.0,627.4053016764107,1746.8639278822077
248,89609,18.3,02290,POINT (-311012.13649422367 1488949.3548814158),2020,6,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23551.353609149362,23523.605723005872,0.0,24020.04237669449,23730.8755227183
249,89636,18.1,02290,POINT (521653.21314306365 1759606.181763815),2016,6,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,454.5735382648853,1789.2634023703918,4562.57114804431,3623.058051595155
252,89724,100.0,02016,POINT (-857150.7735705598 507067.5363876597),2017,6,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,387632.61323381786,332809.47395197686,25164.812070274445,868485.2435380246,654749.8151040733
255,89823,284.6,02185,POINT (236453.79079956512 2159189.255237688),2017,6,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33895.0299978938,178246.41604110764,16792.14157275937,218322.84036713064,234668.42123633056
258,89988,12.5,02240,POINT (376583.673886012 1576207.9724310203),2022,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5122.367325168944,5012.089117085124,0.0,4668.794658381015,27837.93515023539
265,90256,1581.9,02290,POINT (1292.8764543224518 1745564.6512590095),2022,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1039.582959109456,9768.996962710771,4363.327598644502,10342.902407553434
